name,website,google_category,domain,address,phone,lat,lng,status,reason,evidence_quote
Hauptstadtlabor Berlin,https://www.hauptstadtlabor-berlin.de/,Medizinisches Labor,hauptstadtlabor-berlin.de,"Flottenstraße 24, 13407 Berlin, Deutschland",+49 30 23323930,52.5783193,13.3544702,QUESTIONABLE,Kein Text gescrapt,
MDI Limbach Berlin GmbH,https://www.mdi-limbach-berlin.de/,Medizinisches Labor,mdi-limbach-berlin.de,"Aroser Allee 68, 13407 Berlin, Deutschland",+49 30 4433640,52.5632141,13.3538892,QUESTIONABLE,,"Selbstverständlich haben Sie die Möglichkeit, einzelne Analysen dieses Untersuchungsprofil anzufordern."
MVZ Laboratoriumsmedizin Berlin Dres. med. Wisplinghoff und Kollegen,https://www.wisplinghoff.de/das-labor/standort-berlin-mpu,Medizinisches Labor,wisplinghoff.de,"Ostseestraße 111, 10409 Berlin, Deutschland",+49 30 400064864,52.546304,13.4435276,QUESTIONABLE,,Sie können diese Selbstzahlerleistungen als individuelle Gesundheitsleistung (IGeL) durchführen lassen.
MVZ MIB (Medizinisches Infektiologiezentrum Berlin),http://www.mvz-mib.de/,Medizinisches Labor,mvz-mib.de,"Oudenarder Str. 16, 13347 Berlin, Deutschland",+49 30 344091040,52.5531408,13.360054,QUESTIONABLE,Kein Text gescrapt,
Labor Berlin - Charité Vivantes GmbH,http://www.laborberlin.com/,Medizinisches Labor,laborberlin.com,"Sylter Str. 2, 13353 Berlin, Deutschland",+49 30 4050260,52.5413861,13.3380636,QUESTIONABLE,,"Bitte kommen Sie nüchtern zur Blutentnahme. Für die Untersuchung wird eine Blutentnahme nach mindestens 12-stündiger Nahrungskarenz durchgeführt. Das Trinken von Wasser ist erlaubt und erwünscht. Preis: 142,99 €, inkl. Blutabnahme und 19 % MwSt. Für die Leistungserbringung müssen Sie volljährig sein. Wir bieten diese Leistung an unseren beiden Standorten an."
"Bilacon Gesellschaft für Laboranalytik, Lebensmittelhygiene und Prozeßmanagement mbH",https://www.bilacon.de/,Labor,bilacon.de,"An d. Industriebahn 5, 13088 Berlin, Deutschland",+49 30 206038230,52.5621343,13.4614255,QUESTIONABLE,Kein Text gescrapt,
Institut Kirchhoff Berlin GmbH,https://www.merieuxnutrisciences.com/de/,Labor,merieuxnutrisciences.com,"Oudenarder Str. 16, 13347 Berlin, Deutschland",+49 30 45798930,52.5533806,13.3604673,QUESTIONABLE,Kein Text gescrapt,
Gläsernes Labor,http://www.glaesernes-labor.de/,Labor,glaesernes-labor.de,"Robert-Rössle-Straße 10, 13125 Berlin, Deutschland",,52.6268981,13.5023035,QUESTIONABLE,Kein Text gescrapt,
Labservice GmbH,http://www.lab-service.de/,Medizinisches Labor,lab-service.de,"Flottenstraße 24, 13407 Berlin, Deutschland",+49 30 23323930,52.5780822,13.35408,QUESTIONABLE,Kein Text gescrapt,
spæs - Lab for Spatial Aesthetics in Sound Berlin,https://spaes.org/,Labor,spaes.org,"Stockholmer Str. 4, 13359 Berlin, Deutschland",,52.5569918,13.3823922,QUESTIONABLE,Kein Text gescrapt,
