name,website,google_category,domain,address,phone,lat,lng,status,evidence_quote,reason
DXA Knochendichtemessung Berlin | MVZ AnthroNUK,https://anthronuk.de/index.php/diagnostik/dxa-knochendichtemessung-berlin,Radiologe,anthronuk.de,"Müllerstraße 56-58, 13349 Berlin, Deutschland",,52.5540941,13.346222,NO,Die DXA-Methode im MVZ AnthroNUK gilt als Goldstandard zur Messung der Knochendichte und zur Osteoporose-Früherkennung...Die DXA-Messung ist die einzige von der Weltgesundheitsorganisation (WHO) und dem Dachverband Osteologie e.V. anerkannte und empfohlene Methode zur Knochendichtemessung...,
Evidia MVZ Radiologie Greifswalder Straße,https://evidia.de/standorte/diagnostikum-berlin-prenzlauer-berg,Medizinisches Zentrum für bildgebende Diagnostik,evidia.de,"Greifswalder Str. 136 - 138, 10409 Berlin, Deutschland",+49 30 666660,52.54626,13.44552,QUESTIONABLE,,Kein Text gescrapt
Abdomensonografie Berlin,https://praxis-auskunft.de/abdomensonografie-berlin/,Radiologe,praxis-auskunft.de,"Gartenstraße 1, 13088 Berlin, Deutschland",,52.5509906,13.4680468,QUESTIONABLE,,Kein Text gescrapt
Überörtliche Berufsausübungsgmeinschaft MVZ DTZ am Frankfurter Tor/ MVZ DTZ am OZB Onkozentrum Berlin,http://www.berlin-dtz.de/,Arzt,berlin-dtz.de,"Kadiner Str. 23, 10243 Berlin, Deutschland",+49 30 293697300,52.514945,13.4510811,NO,"Hierbei werden zwei Röntgenaufnahmen mit unterschiedlicher Intensitätso überlagert, dass der Anteil an Weichteilgewebe herausgerechnet und der Mineraliengehalt des Knochens bestimmt werden kann. Am DTZ wird hierfür die Dual-Röntgen-Absorptiometrie (DXA/DEXA), das weltweit empfohlene Standardverfahren, angewandt.",
PRIMENOSTICS – Privatpraxis für Radiologie und Nuklearmedizin,https://primenostics-berlin.de/,Medizinisches Zentrum für bildgebende Diagnostik,primenostics-berlin.de,"Marburger Str. 12, 10789 Berlin, Deutschland",+49 30 56796129,52.5021331,13.3367947,NO,"The available text snippet includes a detailed description of MRI diagnostics across various body parts and conditions by Dr. Sven Walter at PRIMENOSTICS. There is no mention of DXA/DEXA scans or assessments related to body composition such as fat percentage, muscle mass, or visceral fat. Instead, the text focuses solely on the uses and capabilities of MRI technology.",
SCANECA,https://scaneca.de/,Hersteller,scaneca.de,"Richard-Wagner-Straße 48-50, 10585 Berlin, Deutschland",+49 30 40365870,52.516091,13.3071806,QUESTIONABLE,,Kein Text gescrapt
Privatpraxis für Radiologie in der MEOCLINIC Berlin Mitte,https://www.meoclinic.de/fachgebiete/radiologie/,Radiologe,meoclinic.de,"Friedrichstraße 71, 10117 Berlin, Deutschland",+49 30 20944000,52.513474,13.3899161,NO,"Die DXA-Messung (Dual-Energy X-ray Absorptiometry) ist das Standardverfahren zur Messung der Knochendichte und dient zur sicheren Diagnose von Osteoporose. Dabei wird mithilfe einer speziellen Röntgentechnik die Knochenmineraldichte (BMD – Bone Mineral Density) an bestimmten Körperstellen, meist der Lendenwirbelsäule und der Hüfte bestimmt.",
Urban Sports Club,https://www.urbansportsclub.com/,Sportverein,urbansportsclub.com,"Voltairestraße 10, 10179 Berlin, Deutschland",,52.5177191,13.4173134,NO,"The InBody Scan at Wellness Club uses advanced bioelectrical impedance analysis to provide a reliable, segmental breakdown of your body composition. The 3D Body Analysis Scan at Upupgo utilizes lidar technology to create a precise copy of your body, and the HFS - 3D Bodyscan in Kreuzberg uses infrared 3D technology. None of these methods involve DXA/DEXA scanning.",
"Privatpraxis für Orthopädie, Sportmedizin und Osteopathie Dr. Carl Neisser und Dr. Katja Weise.",http://www.berlin-orthopaede.com/,Orthopäde,berlin-orthopaede.com,"Chausseestraße 105, 10115 Berlin, Deutschland",+49 30 24781661,52.5318696,13.3811782,QUESTIONABLE,,Kein Text gescrapt
Beyond Imaging Diagnostikzentrum,https://beyond-imaging.com/,Medizinisches Zentrum für bildgebende Diagnostik,beyond-imaging.com,"Reinhardtstraße 23-27, 10117 Berlin, Deutschland",+49 30 56796129,52.523105,13.3836691,QUESTIONABLE,,Kein Text gescrapt
Radiologie-Eins,https://www.radiologie-eins.de/?utm_source=local&utm_medium=organic&utm_campaign=gmb,Radiologe,radiologie-eins.de,"Clayallee 225 A, 14195 Berlin, Deutschland",+49 30 81003733,52.4499581,13.2689294,QUESTIONABLE,,Kein Text gescrapt
centrovital Spa & Sportclub,https://www.centrovital-berlin.de/spa-und-sportclub/#gbp,Spa und Fitness-Studio,centrovital-berlin.de,"Brauereihof 6, 13585 Berlin, Deutschland",+49 30 81875113,52.5465326,13.2101602,NO,"SCANECA is a revolutionary, holistic 3D body analysis system 'Made in Germany'. With the help of a detailed 3D avatar, relevant body circumferences are quickly measured precisely, posture is analysed and a detailed report on the most important health-related parameters is created.",
Privatpraxis für Orthopädie Berlin-Frohnau | Dr. med. Oleg Surminski,https://www.privat-orthopaedie.de/,Orthopäde,privat-orthopaedie.de,"Zeltinger Str. 3-5, 13465 Berlin, Deutschland",+49 30 40607901,52.6348445,13.2913223,NO,"DEXA (dual-energy X-ray absorptiometry) is the gold standard for measuring bone density, particularly in the lumbar spine and femoral neck.",
Praxen für diagnostische und therapeutische Nuklearmedizin,http://www.nuklearmedizin-berlin.de/,Arztpraxis,nuklearmedizin-berlin.de,"Düppelstraße 30, 12163 Berlin, Deutschland",+49 30 8979540,52.4591011,13.3257441,QUESTIONABLE,,Kein Text gescrapt
Poliklinik am UKB,https://www.bg-kliniken.de/gesundheitszentrum-ukb/poliklinik/,Poliklinik,bg-kliniken.de,"Warener Str. 1, 12683 Berlin, Deutschland",+49 30 201815100,52.5191193,13.5644025,QUESTIONABLE,,Kein Text gescrapt
Radiologie Spandau,http://www.radiologie-in-spandau.de/,Radiologe,radiologie-in-spandau.de,"Klosterstraße 34-35/1. OG, 13581 Berlin, Deutschland",+49 30 33939090,52.5321864,13.1982525,QUESTIONABLE,,Kein Text gescrapt
Dr. med. Margrit Lock,http://www.orthopaedie-friedenau-spandau.de/,Arzt,orthopaedie-friedenau-spandau.de,"Klosterstraße 34, 13581 Berlin, Deutschland",+49 30 3311660,52.5321312,13.1982921,QUESTIONABLE,,Kein Text gescrapt
"Dr. Michael Seidel, Privatpraxis für nichtoperative Orthopädie",http://www.orthopaedie-in-berlin.de/,Orthopäde,orthopaedie-in-berlin.de,"Potsdamer Ch 80, 14129 Berlin, Deutschland",+49 30 322902870,52.4269493,13.2166368,NO,Bioelektrische Impedanzanalyse zur Bestimmung des Körperfetts und der Muskelmasse,
Radiologie am Kurfürstendamm 37,https://radiologie-kudamm.de/,Radiologe,radiologie-kudamm.de,"Kurfürstendamm 37, 10719 Berlin, Deutschland",+49 30 8892050,52.5024724,13.3229302,QUESTIONABLE,,Kein Text gescrapt
Orthopädische Praxis,http://www.orthopaedie-praxis-berlin.de/kontakt.html,Orthopäde,orthopaedie-praxis-berlin.de,"Markt 2-3, 13597 Berlin, Deutschland",+49 30 67060922,52.5369997,13.2042949,QUESTIONABLE,,Kein Text gescrapt
MVZ Dr. Detlef Kaleth & Kollegen,http://www.kaleth-und-kollegen.de/,Zentrum für Schmerztherapie,kaleth-und-kollegen.de,"Bismarckstraße 95/96, 10625 Berlin, Deutschland",+49 30 80105150,52.5116322,13.3110178,QUESTIONABLE,,Kein Text gescrapt
orthozentrum plus Kaiserdamm,https://orthozentrumplus.de/,Orthopäde,orthozentrumplus.de,"Kaiserdamm 26, 14057 Berlin, Deutschland",+49 30 30830670,52.5102957,13.2813748,QUESTIONABLE,,Kein Text gescrapt
Wirbelsäulen-Gelenkzentrum-Westend | Weingärtner Orthopädie und Unfallchirurgie,https://www.wgz-westend.de/,Orthopäde,wgz-westend.de,"Reichsstraße 2, 14052 Berlin, Deutschland",+49 30 3011790,52.5106756,13.2709623,QUESTIONABLE,,Kein Text gescrapt
