name,website,google_category,domain,address,phone,lat,lng,status,evidence_quote,reason
LADR Medizinisches Versorgungszentrum Hannover,https://ladr.de/fachlabore/hannover/kontakt,Medizinisches Labor,ladr.de,"Oldenburger Allee 31, 30659 Hannover, Deutschland",+49 511 901360,52.42028,9.82445,NO,Eine Proben-Abnahme im Labor ist dienstags bis donnerstags nach vorheriger Rücksprache über die Telefonzentrale und mit Überweisung des Einsenders möglich.,
MVZ Medizinisches Labor Hannover GmbH,http://www.mlh.de/,Medizinisches Labor,mlh.de,"Am Tüv 6, 30519 Hannover, Deutschland",+49 511 856220,52.3340805,9.778527,QUESTIONABLE,"Für Blut-, Urin- und Abstrichentnahmen in unserem Labor als Privat- sowie als Auftragsleistung.",
Chemisches Labor Dr. Wirts und Partner Sachverständigen GmbH,http://labwi.de/,Chemielabor,labwi.de,"Rutenbergstraße 59, 30559 Hannover, Deutschland",+49 511 9507980,52.3505839,9.8134206,QUESTIONABLE,,Kein Text gescrapt
Arbeitsgemeinschaft unabhängiger Laborärzte e. V.,http://aula-online.de/,Medizinisches Labor,aula-online.de,"Am Tüv 6, 30519 Hannover, Deutschland",+49 4930 32790360,52.3340805,9.778527,QUESTIONABLE,,Kein Text gescrapt
Labor für Biomechanik und Biomaterialien - MHH,https://www.mhh.de/lbb,Labor,mhh.de,"Haubergstraße 3, 30625 Hannover, Deutschland",+49 511 5354629,52.3726242,9.808484,QUESTIONABLE,"Der gegebene Text enthält keine expliziten Informationen darüber, ob das 'Labor für Biomechanik und Biomaterialien - MHH' Blut-/Laboruntersuchungen für Patienten als Selbstzahler ohne ärztliche Überweisung anbietet. Es gibt keine Hinweise auf Selbstbeauftragung durch Patienten oder ärztliche Anforderungen. Die Informationen konzentrieren sich größtenteils auf Forschungsaktivitäten, Spenden und Veranstaltungen, ohne spezifische Details zu Dienstleistungen für Patienten ohne ärztliche Überweisung.",
Labor Mdf Gmbh,http://www.labor-mdf.de/,Labor,labor-mdf.de,"Feodor-Lynen-Straße 31, 30625 Hannover, Deutschland",,52.3894425,9.7976751,QUESTIONABLE,,Kein Text gescrapt
LaborService HannoMed GmbH,http://www.hannomed.de/,Transportdienst,hannomed.de,"Röpkestraße 12, 30173 Hannover, Deutschland",+49 511 2346722,52.3671836,9.7758598,QUESTIONABLE,,Kein Text gescrapt
SYNLAB MVZ Pathologie Hannover,https://www.synlab.de/lab/hannover,Medizinisches Labor,synlab.de,"Feodor-Lynen-Straße 21, 30625 Hannover, Deutschland",+49 511 2351010,52.3895431,9.7996832,QUESTIONABLE,Die SYNLAB-Labore stehen Patienten und dem behandelnden Arzt vor Ort bereit. Für spezielle diagnostische Fragestellungen erhalten Sie das gebündelte Know-how der SYNLAB-Spezialisten online und in unseren Laboren gleichermaßen.,
Cytologisches Institut Dr. med. T. Topalidis,http://www.cyto.de/,Medizinisches Labor,cyto.de,"Brabeckstraße 97, 30539 Hannover, Deutschland",+49 511 8988120,52.3511437,9.8275989,QUESTIONABLE,,Kein Text gescrapt
Cytop GmbH,http://www.cytop.de/,Medizinisches Labor,cytop.de,"Brabeckstraße 97, 30539 Hannover, Deutschland",+49 511 89881288,52.351288,9.827531,QUESTIONABLE,,Kein Text gescrapt
TrafoLab,https://www.trafolab.de/,Labor,trafolab.de,"Nackenberger Str. 2, 30625 Hannover, Deutschland",+49 173 8809900,52.3780892,9.8061953,QUESTIONABLE,,Kein Text gescrapt
BioDoc - Labor für biomedizinische Diagnostik,http://www.biodoc-online.de/,Medizinisches Labor,biodoc-online.de,"Feodor-Lynen-Straße 23, 30625 Hannover, Deutschland",+49 511 548885,52.3895979,9.7990463,QUESTIONABLE,,Kein Text gescrapt
QUATTRO-DENT Dentaltechnik | Hannover,http://www.quattro-dent.de/,Dentallabor,quattro-dent.de,"Lehrter Str. 45, 30559 Hannover, Deutschland",+49 511 52499960,52.3592962,9.8538402,QUESTIONABLE,,Kein Text gescrapt
LAVES - Lebensmittel- und Veterinärinstitut,https://www.laves.niedersachsen.de/startseite/wir_uber_uns/institute_fachdezernate/lebensmittel--und-veterinaerinstitut-braunschweighannover--73695.html,Labor,laves.niedersachsen.de,"Eintrachtweg 17, 30173 Hannover, Deutschland",+49 511 288970,52.36516,9.7767199,QUESTIONABLE,"Im Vorfeld zu den Untersuchungen im Jahr 2023 wurde eine Recherche zu Herstellern und Vertrieb im Onlinehandel in Niedersachsen in der Sparte „Brotbackmischungen und Mehle mit besonderen Auslobungen“ wie „low(er) carb“, „glutenfrei“, „ketogen“ und „paleo"" durchgeführt. Zur Untersuchung eingeliefert wurden an das Lebensmittel- und Veterinärinstitut am Standort Braunschweig insgesamt elf Proben.",
BASF Catalysts Germany GmbH,http://basf-catalysts-germany.com/,Labor,basf-catalysts-germany.com,"Seligmannallee 1, 30173 Hannover, Deutschland",+49 511 9840,52.3680757,9.7756829,QUESTIONABLE,,Kein Text gescrapt
Prof. Ziya Atay,http://www.cyto-hannover.de/,Arzt,cyto-hannover.de,"Tiergartenstraße 73, 30559 Hannover, Deutschland",+49 511 523093,52.3625609,9.8251398,QUESTIONABLE,,Kein Text gescrapt
DIAKOVERE HENRIKE - Mutter-Kind-Zentrum AUF DER BULT,http://www.henrike-hannover.de/,Geburtszentrum,henrike-hannover.de,"Janusz-Korczak-Allee 12, 30173 Hannover, Deutschland",+49 511 81153800,52.3602223,9.7769501,QUESTIONABLE,,Kein Text gescrapt
Werlhof-Institut MVZ,http://www.werlhof-institut.de/,Arztpraxis,werlhof-institut.de,"Schillerstraße 23, 30159 Hannover, Deutschland",+49 511 3305990,52.3756854,9.7379472,QUESTIONABLE,,Kein Text gescrapt
Medizinisches Versorgungszentrum,http://www.mvz-kinder-und-jugendmedizin.de/,Kinderarzt,mvz-kinder-und-jugendmedizin.de,"Janusz-Korczak-Allee 12, 30173 Hannover, Deutschland",+49 511 320073,52.3597921,9.7774866,QUESTIONABLE,,Kein Text gescrapt
MVZ Wagner & Stibbe für Laboratoriumsmedizin,https://www.wagnerstibbe-hannover.de/,Arzt,wagnerstibbe-hannover.de,"Georgstraße 50, 30159 Hannover, Deutschland",+49 511 3017950,52.3718,9.74048,QUESTIONABLE,,Kein Text gescrapt
"MVZ wagnerstibbe für Laboratoriumsmedizin, Gynäkologie, Humangenetik und Pathologie GmbH",https://www.wagnerstibbe.de/,Arzt,wagnerstibbe.de,"Theaterstraße 14, 30159 Hannover, Deutschland",+49 511 3017950,52.3742,9.74278,QUESTIONABLE,,Kein Text gescrapt
Schülerlabor TechLab,http://www.techlab.uni-hannover.de/,Labor,techlab.uni-hannover.de,"Callinstraße 30A, 30167 Hannover, Deutschland",+49 511 76219065,52.3879966,9.7133893,QUESTIONABLE,,Kein Text gescrapt
ReSoLut Dental-Technik GmbH,https://www.resolut-dental.de/,Dentallabor,resolut-dental.de,"Ehlvershof 1, 30419 Hannover, Deutschland",+49 511 3730333,52.4207536,9.7075192,QUESTIONABLE,,Kein Text gescrapt
Schlaflabor und Pneumologie Lutz Volgmann und Kollegen,http://pneumologe-hannover.de/,Arzt,pneumologe-hannover.de,"Kopernikusstraße 5, 30167 Hannover, Deutschland",+49 511 714453,52.3876008,9.7243883,QUESTIONABLE,,Kein Text gescrapt
Herzkatheterlabor Nordstadt Krankenhaus,https://nordstadt.krh.de/kliniken-zentren/kardiologie-und-internistische-intensivmedizin,Medizinisches Labor,nordstadt.krh.de,"Haltenhoffstraße 41, 30167 Hannover, Deutschland",,52.3923059,9.7164235,QUESTIONABLE,,Kein Text gescrapt
Integrative Medizin im Zentrum Dr. med. Angeli Neter,https://www.dr-angeli-neter.com/,Arzt für ganzheitliche Medizin,dr-angeli-neter.com,"Eichendorffstraße 12, 30175 Hannover, Deutschland",+49 511 852652,52.3762592,9.7582428,QUESTIONABLE,,Kein Text gescrapt
"Hausärztliche Gemeinschaftspraxis - Panagiota Georgoutsi, Nadine Markmann",https://www.georgoutsi.de/,Arzt,georgoutsi.de,"Georgstraße 19, 30159 Hannover, Deutschland",+49 511 15093,52.3756166,9.7347403,QUESTIONABLE,,Kein Text gescrapt
"Dr. Berndt & Partner, Fachärzte für Allgemeinmedizin",https://www.praxis-dr-berndt.de/,Allgemeinmediziner,praxis-dr-berndt.de,"Voßstraße 24, 30161 Hannover, Deutschland",+49 511 620025,52.3884409,9.7411617,QUESTIONABLE,"Den gesetzlichen Krankenkassen ist es untersagt, reisemedizinische Leistungen für einen privaten Auslandsaufenthalt zu erstatten. Demgegenüber dürfen öffentlich empfohlene Impfungen, wie z.B. Tetanus und Diphtherie von den Krankenkassen übernommen werden, sofern sie nicht speziell für eine Auslandsreise vorgenommen werden.",
Hausarzt Zentrum List - Dr. med. Ger Kretschmer,https://www.hausarzt-zentrum-list.de/,Arzt,hausarzt-zentrum-list.de,"Jakobistraße 46, 30163 Hannover, Deutschland",+49 511 662933,52.39114,9.7426,NO,"Die medizinische Labordiagnostik umfasst die Untersuchung von Proben des menschlichen Körpers. Blutproben, Proben von Organen, Urin, das Knochenmark und vieles mehr werden bei entsprechender Fragestellung zur Diagnostik herangezogen.",
