name,website,google_category,domain,address,phone,lat,lng,status,evidence_quote,reason
Gesundheitspraxis Dominik Machner,https://gesundeshannover.de/,Ernährungsberater,gesundeshannover.de,"Podbielskistraße 325, 30659 Hannover, Deutschland",+49 511 64041320,52.4068507,9.8011395,NO,"Wir bieten Ihnen die Körperfettanalyse mittels Scaneca 3D-Körperanalyse an. Dieses spezielle Verfahren weist einige Vorteile, z. B. gegenüber einer BIA (Bioimpedanzmessung) oder einer Kaliper-Körperfettzange auf. Bei der 3D-Körperanalyse wird nicht nur ihr Körperfettanteil bestimmt, sondern auch ihr FFMI (fettfreie Masse Index), ihre Muskelmasse und verschiedene Umfänge an Hals, Schultern, Brust, Taille, Bauch, Bizeps, Unterarmen, Oberschenkeln und Waden.",
Beyond Imaging Diagnostikzentrum,https://beyond-imaging.com/,Medizinisches Zentrum für bildgebende Diagnostik,beyond-imaging.com,"Am Hohen Ufer 5A EG Am Marstall, Burgstraße, 30159 Hannover, Deutschland",+49 511 99994400,52.3736453,9.7304676,NO,"There are no mentions of 'DXA', 'DEXA', 'Körperfett', 'Fettanteil', 'Muskelmasse', 'Weichteilanalyse', or 'Gewebe' in the provided text snippets. The only context provided relates to studies of endometrial cancer risks and treatments, with no reference to body composition scans or related services.",
Physicalpark,https://www.physicalpark.de/,Fitnessraum,physicalpark.de,"Pelikanpl. 13, 30177 Hannover, Deutschland",+49 511 965100,52.3988604,9.7703027,NO,"Der Physicalpark Hannover bietet dir mit der Seca TRU / mBCA Bioimpedanzanalyse ein hochmodernes Tool, um genau das zu erreichen. Diese fortschrittliche Technologie ermöglicht es dir, einen detaillierten Einblick in deine Körperzusammensetzung zu erhalten und so dein Training und deine Ernährung perfekt auf deine individuellen Bedürfnisse abzustimmen.",
Radiologie am Raschplatz,https://www.hannover-radiologie.de/,Radiologe,hannover-radiologie.de,"Rundestraße 10, 30161 Hannover, Deutschland",+49 511 313025,52.3795089,9.7402391,QUESTIONABLE,,Kein Text gescrapt
Röntgenpraxis Georgstrasse,http://roentgenpraxis-georgstrasse.de/,Arztpraxis,roentgenpraxis-georgstrasse.de,"Georgstraße 16, 30159 Hannover, Deutschland",+49 511 1237170,52.3746774,9.7362882,QUESTIONABLE,,Kein Text gescrapt
Herr Dr. med. Gregor Tönshoff,https://www.radiologie-nuklearmedizin-roentgenpraxis-hannover.de/team/dr-med-g-toenshoff/,Arzt,radiologie-nuklearmedizin-roentgenpraxis-hannover.de,"Georgstraße 16, 30159 Hannover, Deutschland",+49 511 327325,52.37474,9.73638,NO,"Knochendichtemessung (DEXA) Die Knochendichtemessung ist ein Verfahren, um die Knochenfestigkeit zu untersuchen. Es gibt unterschiedliche Messverfahren zur Ermittlung der Knochendichte. Die einzige von allen Fachverbänden anerkannte Messmethode ist die DEXA (Dual-Energy-X-Ray-Absorptiometrie).",
Radiologie im Heidehaus,http://www.radiologie-im-heidehaus.de/,Radiologe,radiologie-im-heidehaus.de,"Am Heidehaus 5, 30419 Hannover, Deutschland",+49 511 12371721,52.4250757,9.6288658,QUESTIONABLE,,Kein Text gescrapt
Orthopädie Praxis Nordstadt,https://www.orthopaediepraxis-nordstadt.de/,Orthopäde,orthopaediepraxis-nordstadt.de,"Haltenhoffstraße 41/Haus G, 30167 Hannover, Deutschland",+49 511 715566,52.3918594,9.7135687,QUESTIONABLE,,Kein Text gescrapt
Orthopädie Bothfeld - Dr. Dittmer & Bruderek,http://www.orthopaedie-bothfeld.de/,Orthopäde,orthopaedie-bothfeld.de,"Sutelstraße 54A, 30659 Hannover, Deutschland",+49 511 640021,52.413255,9.79732,QUESTIONABLE,,Kein Text gescrapt
endokrinologikum Hannover,https://www.endokrinologikum-hannover.de/,Endokrinologe,endokrinologikum-hannover.de,"Rundestraße 10, 30161 Hannover, Deutschland",+49 511 2155582000,52.3791787,9.7400832,QUESTIONABLE,,Kein Text gescrapt
