name,website,google_category,domain,address,phone,lat,lng,status,reason,evidence_quote
Labor für Zytologie & Histologie Dr. Ulm GesmbH,http://www.labors-patho.at/,Medizinisches Labor,labors-patho.at,"Kürschnergasse 6b, 1210 Wien, Österreich",+43 1 2561813,48.2658396,16.4484566,QUESTIONABLE,Kein Text gescrapt,
IHR LABOR 1220 - Medizinisch-diagnostisches Laboratorium mit Mikrobiologie,https://ihrlabor.at/,Medizinisches Labor,ihrlabor.at,"Wagramer Str. 144, 1220 Wien, Österreich",+43 1 2036774,48.2489845,16.4430953,QUESTIONABLE,,"Für Kassenleistungen bringen Sie bitte Ihre E-Card und, falls vorhanden, Ihre Zuweisung von Ihrem Arzt oder Ihrer Ärztin mit. Für private Leistungen reicht ein Ausweis."
Labor Donauzentrum - SYNLAB 1220 Wien,http://www.synlab.at/,Medizinisches Labor,synlab.at,"Donaustadtstraße 1, 1220 Wien, Österreich",+43 1 2033213,48.2417465,16.4358198,QUESTIONABLE,,"Bitte beachten Sie, dass nicht alle Untersuchungen von den Sozialversicherungsträgern vergütet werden. Sollte Ihr Arzt/Ihre Ärztin eine Untersuchung angefordert haben, die von der Krankenkasse nicht vergütet wird, informieren wir Sie selbstverständlich vor der Blutabnahme über die Höhe des zu bezahlenden Honorars. Wenn Sie als Privatpatient kommen, werden Sie über die von Ihnen zu tragenden Kosten vor der Untersuchung informiert."
Labor Doz. DDr. Stefan Mustafa – Medizinisch Diagnostisches Labor,https://www.labor-mustafa.at/,Medizinisches Labor,labor-mustafa.at,"Ziehrerpl. 9, 1030 Wien, Österreich",+43 1 7138223,48.2000033,16.3912123,QUESTIONABLE,,"Das Labor bietet ein umfassendes Leistungsspektrum in den Bereichen Analytik und Diagnostik. Wir führen eine Vielzahl von chemischen, physikalischen und biologischen Analysen durch, um die Qualität von Proben zu bestimmen und gesundheitliche Risiken zu identifizieren."
das labor,https://www.daslabor.at/,Labor,daslabor.at,"Jörgerstraße 52, 1170 Wien, Österreich",+43 1 4087210,48.2184089,16.3335717,QUESTIONABLE,,Spezialanalysen auf Anfrage. Privatpreise in Euro.
LS Dienstleistungs GmbH,http://www.lsdl.at/,Medizinisches Labor,lsdl.at,"Industriestraße 9, 2201 Gerasdorf bei Wien, Österreich",+43 676 9371350,48.2823656,16.4815494,QUESTIONABLE,Kein Text gescrapt,
Neurodiagnostisches Labor Dr. Richard NEMETZ GmbH,https://gesund-info.eu/neurologe/neurodiagnostisches-labor-dr-richard-nemetz-1220-wien,Labor,gesund-info.eu,"Wagramer Str. 152/3. Stock/ Top 31, 1220 Wien, Österreich",+43 1 2020200,48.2502427,16.4439245,QUESTIONABLE,Kein Text gescrapt,
Labor Dr. Dostal,https://www.labor-dostal.at/,Medizinisches Labor,labor-dostal.at,"Saarpl. 9, 1190 Wien, Österreich",+43 1 3682472,48.2459106,16.3498482,QUESTIONABLE,,"Die im Text angegebenen Informationen sind nicht ausreichend, um zu bestätigen, ob das Labor Dr. Dostal Blut-/Laboruntersuchungen für Patienten ohne ärztliche Überweisung anbietet. Es wird erwähnt, dass Blutabnahmen ohne Voranmeldung stattfinden können ('von 07:00 bis 13:00 ohne Voranmeldung'), jedoch ist dies kein direkter Hinweis auf die Möglichkeit der Selbstbeauftragung ohne ärztliche Anforderung."
Linha Zahnlabor GesmbH,https://linha-highdent.at/,Dentallabor,linha-highdent.at,"Eßlinger Hauptstraße 38, 1220 Wien, Österreich",+43 1 7746383,48.2144034,16.5160682,QUESTIONABLE,Kein Text gescrapt,
tec4life Medizintechnik GmbH,https://www.tec4life.at/,Medizinisches Labor,tec4life.at,"Kirschenallee 57/2, 1220 Wien, Österreich",+43 1 7741016,48.2086461,16.519071,QUESTIONABLE,Kein Text gescrapt,
Zahntechnisches Labor Hirsch Meisterbetrieb,http://www.zahntechnischeslabor.at/,Dentallabor,zahntechnischeslabor.at,"Stadlauer Str. 39/1, 1220 Wien, Österreich",+43 1 2697709,48.231269,16.4574693,QUESTIONABLE,Kein Text gescrapt,
Hangl Zahntechnisches Labor GmbH,http://www.hangl.at/,Dentallabor,hangl.at,"Gemeindeaugasse 3, 1220 Wien, Österreich",,48.2233831,16.4519365,QUESTIONABLE,Kein Text gescrapt,
Foto Knoll,http://www.fotoknoll.at/,Fotolabor,fotoknoll.at,"Haberlandtgasse 34, 1220 Wien, Österreich",+43 1 7280160,48.2194278,16.4868461,QUESTIONABLE,Kein Text gescrapt,
Wimmer Dental,http://www.wimmer-dental.at/,Dentallabor,wimmer-dental.at,"Breitenleer Str. 234, 1220 Wien, Österreich",+43 1 7180217,48.2510626,16.495199,QUESTIONABLE,Kein Text gescrapt,
SiMshot Fotografie,http://www.simshot.at/,Fotograf,simshot.at,"Maria-Tusch-Straße 6, 1220 Wien, Österreich",+43 660 2655500,48.2244936,16.4987833,QUESTIONABLE,Kein Text gescrapt,
Fotografie Richard Schuster,http://www.fotoschuster.com/,Fotograf,fotoschuster.com,"Sankt-Wendelin-Platz 5, 1220 Wien, Österreich",+43 1 2036770,48.249739,16.442129,QUESTIONABLE,Kein Text gescrapt,
IDEXX Labor Wien,http://idexx.at/,Medizinisches Labor,idexx.at,"Viehmarktgasse 2, 1030 Wien, Österreich",+43 1 206092729,48.1900877,16.4018171,QUESTIONABLE,,"Hier können Sie Untersuchungen für bestimmte Kategorien suchen, z. B. Organsysteme. Oder durchsuchen Sie das gesamte Leistungsverzeichnis nach Stichworten."
Altus Biolabs,http://www.hanftest.at/,Labor,hanftest.at,"Dr.-Bohr-Gasse 2-8/13/1, 1030 Wien, Österreich",+43 660 9215101,48.1902626,16.4016293,QUESTIONABLE,Kein Text gescrapt,
ARCHIMEDlife GmbH,http://www.archimedlife.com/,Medizinisches Labor,archimedlife.com,"Leberstraße 20, 1110 Wien, Österreich",+43 664 1448245,48.18107,16.405964,QUESTIONABLE,Kein Text gescrapt,
Donauzentrum Betriebsführungsgmbh,https://www.donauzentrum.at/contact,Medizinisches Labor,donauzentrum.at,"Donaustadtstraße 1, 1220 Wien, Österreich",+43 1 2033213,48.2415316,16.4357394,QUESTIONABLE,Kein Text gescrapt,
Eurofins Genomics At Gmbh,https://www.eurofins.at/kontakt/eurofins-genomics-at-gmbh/,Labor,eurofins.at,"Viehmarktgasse 1B/Elektro Großgeräte, 1030 Wien, Österreich",+43 1 796657260,48.1896202,16.4033783,QUESTIONABLE,Kein Text gescrapt,
Max Perutz Labs Vienna,https://www.maxperutzlabs.ac.at/,Labor,maxperutzlabs.ac.at,"Dr.-Bohr-Gasse 9, 1030 Wien, Österreich",+43 1 427724001,48.1886708,16.4005722,QUESTIONABLE,Kein Text gescrapt,
Obenauf Lab,http://www.obenauflab.com/contact/,Labor,obenauflab.com,"Campus-Vienna-Biocenter, 1030 Wien, Österreich",+43 1 797303060,48.1893616,16.4023171,QUESTIONABLE,Kein Text gescrapt,
Foundation Medicine,https://www.rochefoundationmedicine.com/,Medizinisches Labor,rochefoundationmedicine.com,"Engelhorngasse 3, 1211 Wien, Österreich",+43 1 27739220,48.2608289,16.408938,QUESTIONABLE,Kein Text gescrapt,
BioCraft Pet Nutrition,http://biocraftpet.com/,Labor,biocraftpet.com,"Karl-Farkas-Gasse 22, 1030 Wien, Österreich",,48.1881958,16.4037059,QUESTIONABLE,Kein Text gescrapt,
Miti Biosystems,http://www.mitibio.com/contact/,Labor,mitibio.com,"Dr.-Bohr-Gasse 7, 1030 Wien, Österreich",+43 1 4277,48.1884515,16.4006145,QUESTIONABLE,Kein Text gescrapt,
Alpine Engineering GmbH Laboratories,https://alpine.co.at/,Labor,alpine.co.at,"Dr.-Bohr-Gasse 2/8, 1030 Wien, Österreich",+43 664 5584444,48.1900356,16.4020171,QUESTIONABLE,Kein Text gescrapt,
RIES LAB,http://rieslab.de/,Labor,rieslab.de,"Campus-Vienna-Biocenter 5, 1030 Wien, Österreich",+49 431 427774380,48.1881279,16.4021925,QUESTIONABLE,Kein Text gescrapt,
Diagnosezentrum med22,https://www.dzmed22.at/,Radiologe,dzmed22.at,"Stadlauer Str. 62, 1220 Wien, Österreich",+43 1 2022434,48.2308419,16.4577148,QUESTIONABLE,,"Einfach ohne Termin Röntgen, Ultraschall, Mammographie, Knochendichte und Schmerztherapie."
Labor,https://www.labor.at/firma/ta-instruments/,Unbekannt,labor.at,"Hietzinger Hauptstraße 145, 1130 Wien, Österreich",+43 1 87718070,48.1878144,16.2681708,QUESTIONABLE,Kein Text gescrapt,
Zentral-Labor Favoriten,https://zentral-labor.at/,Medizinisches Labor,zentral-labor.at,"Davidgasse 87-89, 1100 Wien, Österreich",+43 1 2266440,48.174259,16.3584687,QUESTIONABLE,Kein Text gescrapt,
Labdia Labordiagnostik GmbH,http://www.labdia.at/,Medizinisches Labor,labdia.at,"Zimmermannpl. 8, 1090 Wien, Österreich",+43 1 400770,48.2166874,16.3446512,QUESTIONABLE,Kein Text gescrapt,
Neurodiagnostisches Labor Spunda GesmbH,http://www.neurodiagnostik.at/,Medizinisches Labor,neurodiagnostik.at,"Garnisongasse 10, 1090 Wien, Österreich",+43 1 40643350,48.2158544,16.3569673,QUESTIONABLE,Kein Text gescrapt,
Labor Dr. Claudia Vidotto,https://www.labor-vidotto.at/?utm_source=google&utm_medium=organic&utm_campaign=mybusiness&utm_term=vidotto,Medizinisches Labor,labor-vidotto.at,"Breitenfurter Str. 350, 1230 Wien, Österreich",+43 1 8691376,48.137278,16.2867129,QUESTIONABLE,,"Bei einer Vollblutmineralanalyse können wir feststellen, welche Spurenelemente und Mineralstoffe in welcher Konzentration im Blut enthalten sind. Wir eruieren dabei, welche wichtigen Elemente, wie etwa Kalium, Magnesium, Zink oder Eisen in Ihren Körperzellen gespeichert sind. Bei einem Mangel oder einer Überversorgung kann Ihr behandelnder Arzt dann sogleich gezielt entgegenwirken."
Labor Dr. Gerda Dorfinger,https://www.spermiogrammwien.at/,Medizinisches Labor,spermiogrammwien.at,"Perfektastraße 28, 1230 Wien, Österreich",+43 677 63096474,48.1377222,16.318632,QUESTIONABLE,,"Bitte beachten Sie: Der Termin erfolgt nur nach Terminvereinbarung! Das Spermiogramm ist eine aufwändige Untersuchung, die Spezialisten müssen Vorort sein und ausreichend Zeit für Sie einplanen. Wenn Sie eine urologische Untersuchung wünschen oder den Befund und Therapiemöglichkeiten besprechen wollen, vereinbaren Sie bitte einen Termin in der urologischen Ordination."
MSV Labordiagnostik Wien 10,https://www.labordiagnostik-wien10.at/?utm_source=google&utm_medium=organic&utm_campaign=mybusiness&utm_term=1100,Medizinisches Labor,labordiagnostik-wien10.at,"Davidgasse 87, 1100 Wien, Österreich",+43 1 6068919,48.1742386,16.3583563,QUESTIONABLE,Kein Text gescrapt,
LABCON - Medizinische Laboratorien GmbH,https://labcon.at/,Medizinisches Labor,labcon.at,"TABA Tower, Kurbadstraße 8/TOP 2, 1100 Wien, Österreich",+43 1 68890904111,48.1422863,16.405722,QUESTIONABLE,Kein Text gescrapt,
