name,website,google_category,domain,address,phone,lat,lng,status,evidence_quote,reason
Prescan – Premium-Gesundheitsvorsorge in Wien und Österreich,https://www.prescan.at/,Medizinisches Zentrum für bildgebende Diagnostik,prescan.at,"Krotenthallergasse 5/3, 1080 Wien, Österreich",+43 1 89066930,48.2118419,16.3456921,NO,"The provided text does not mention DXA/DEXA scans or any terms related to body composition such as 'Körperfett', 'Muskelmasse', 'Fettanteil', or 'Viszeralfett'. The text solely focuses on colonoscopy and related medical examinations.",
Radiologicum Penzing,https://www.radiologicum.wien/standorte/radiologie-1140-wien-radiologicum-penzing,Radiologe,radiologicum.wien,"Kuefsteingasse 15-19, 1140 Wien, Österreich",+43 1 9825588,48.2004381,16.3124042,QUESTIONABLE,,Kein Text gescrapt
Diagnosezentrum Donaustadt,https://www.radiologie-wien.at/,Radiologe,radiologie-wien.at,"Donaustadtstraße 1, 1220 Wien, Österreich",+43 1 2033126,48.2415316,16.4357394,NO,"Ihr betreuender Arzt hat Sie zu einer Knochendichte-Messung (DEXA) überwiesen. Damit wir diese Knochendichtemessung korrekt beurteilen können, benötigen wir von Ihnen:Ein Röntgen der LWS, nicht älter als 5 Jahre",
Imaging | Petscan,https://imaging.at/petscan,Ärztehaus,imaging.at,"Fleischmarkt 19, 1010 Wien, Österreich",+43 1 225200,48.210199,16.3788467,QUESTIONABLE,,Kein Text gescrapt
Radiology Center,https://www.radiology-center.com/,Medizinisches Zentrum für bildgebende Diagnostik,radiology-center.com,"Lazarettgasse 25, 1090 Wien, Österreich",+43 1 4081282,48.2171975,16.3468491,NO,"Bone Density DEXA... is the established reference method for the diagnosis of osteoporosis. Two images are taken with different X-ray energy and subtracted from each other, thus the amount of bone calcium can be detected. Bone density is measured in two areas as standard: Hip joint and lumbar spine and takes about 15 minutes.",
Diagnosticum Gersthof Institut für MRT / CT Dr. Sochor und Partner,https://www.diagnosticum.at/,Medizinisches Zentrum für bildgebende Diagnostik,diagnosticum.at,"Gersthofer Str. 16, 1180 Wien, Österreich",+43 1 47086260,48.2333767,16.328327,QUESTIONABLE,,Kein Text gescrapt
Diagnosehaus 3,http://www.diagnosehaus.at/,Radiologe,diagnosehaus.at,"in der Rochus Passage, Landstraßer Hauptstraße 71, 1030 Wien, Österreich",+43 1 7138018,48.2011513,16.3934943,NO,"Die Knochendichtemessung (DEXA) ist die präziseste Methode, um Osteoporose (Knochenschwund) frühzeitig zu erkennen...technologie ermöglicht eine exakte Messung der Knochendichte bei minimaler Strahlenbelastung.",
BODYdesigner,http://bodydesigner.at/,Vertriebsdienst,bodydesigner.at,"Karl-Bednarik-Gasse 4, 1220 Wien, Österreich",+43 664 3981417,48.2452326,16.4834569,QUESTIONABLE,,Kein Text gescrapt
Diagnosehaus 11,https://www.diagnosehaus11.at/,Medizinisches Zentrum für bildgebende Diagnostik,diagnosehaus11.at,"Simmeringer Hauptstraße 101/103, 1110 Wien, Österreich",+43 1 7497176,48.1752514,16.4156235,QUESTIONABLE,,Kein Text gescrapt
Radiologie Oberdöbling,https://www.radiologisch.at/,Radiologe,radiologisch.at,"Rudolfinergasse 13, 1190 Wien, Österreich",+43 1 3698483,48.2441458,16.3469106,QUESTIONABLE,,Kein Text gescrapt
Schilddrüsenzentrum 22,http://www.schilddruesenzentrum22.at/,Medizinisches Zentrum für bildgebende Diagnostik,schilddruesenzentrum22.at,"Stadlauer Str. 62, 1220 Wien, Österreich",+43 1 2023939,48.230865,16.4578385,QUESTIONABLE,,Kein Text gescrapt
Ambulatorium Döbling,https://www.ambulatorium-doebling.at/?utm_source=google&utm_medium=gbp&utm_campaign=localseo,Diagnose-Center,ambulatorium-doebling.at,"Heiligenstädter Str. 55/65, 1190 Wien, Österreich",+43 1 360665000,48.2392565,16.3593926,QUESTIONABLE,,Kein Text gescrapt
"Röntgen Wien Nord - Doz.Drs. Grampp, Herneth und Partner",http://www.roentgen-wien-nord.at/,Radiologe,roentgen-wien-nord.at,"Pastorstraße 2A, 1210 Wien, Österreich",+43 1 2584175,48.2673155,16.4475949,QUESTIONABLE,,Kein Text gescrapt
RADIOLOGIE'HERNALS,http://www.radiologiehernals.at/,Diagnose-Center,radiologiehernals.at,"Hernalser Hauptstraße 85, 1170 Wien, Österreich",+43 1 4084080,48.2184906,16.3282697,QUESTIONABLE,,Kein Text gescrapt
Ultraschallkurse Dr. Ybinger Wien,https://www.ultraschallkurse-wien.at/,Bildungszentrum,ultraschallkurse-wien.at,"Parhamerpl. 9, 1170 Wien, Österreich",+43 676 3756003,48.215636,16.3271612,QUESTIONABLE,,Kein Text gescrapt
CT Währing - Computertomographie 1180 Wien,https://www.ct-wien.at/,Radiologe,ct-wien.at,"Hans-Sachs-Gasse 12, 1180 Wien, Österreich",+43 1 4028062,48.2240055,16.3457471,QUESTIONABLE,,Kein Text gescrapt
Hansson Röntgen (Dr. Andreas Lustig & Partner),http://www.hansson-roentgen.at/,Radiologe,hansson-roentgen.at,"Ada-Christen-Gasse 2, 1100 Wien, Österreich",+43 1 6885382,48.1515214,16.3836308,QUESTIONABLE,,Kein Text gescrapt
HANSSON DIAGNOSTIK,http://www.hansson-diagnostik.at/,Medizinisches Zentrum für bildgebende Diagnostik,hansson-diagnostik.at,"U1 Station Alaudagasse, Ada Christen G, Ada-Christen-Gasse 2D, 1100 Wien, Österreich",+43 1 6885382,48.1513277,16.3835627,QUESTIONABLE,,Kein Text gescrapt
iPerforM relaxed MRI - offene MRT im Shopping Center Auhof,https://www.offenemrt.wien/,Radiologe,offenemrt.wien,"Albert-Schweitzer-Gasse 6A Bauteil West, Ärztezentrum NEU, Top 2, 1140 Wien, Österreich",+43 1 9081135,48.2083959,16.21571,QUESTIONABLE,,Kein Text gescrapt
Privatklinik Döbling,https://www.privatklinik-doebling.at/?utm_source=google&utm_medium=gbp&utm_campaign=localseo,Privates Krankenhaus,privatklinik-doebling.at,"Heiligenstädter Str. 55/65, 1190 Wien, Österreich",+43 1 360660,48.2394796,16.3590999,QUESTIONABLE,,Kein Text gescrapt
BIOGENA PLAZA Wien Operngasse,https://biogenaplaza.com/de/plaza-wien-operngasse/?utm_source=google&utm_medium=organic&utm_campaign=gmb,Öffentliches Gesundheitszentrum,biogenaplaza.com,"Operngasse 8, 1010 Wien, Österreich",+43 1 595101010,48.2031382,16.3679778,NO,Bone Density Measurement,
DIAGNOSEZENTRUM LIESING Liesing Gruppenpraxis OG & MR/CT-Institut GmbH,http://www.dz-liesing.at/,Radiologe,dz-liesing.at,"Perchtoldsdorfer Str. 15-19, 1230 Wien, Österreich",+43 1 8690208,48.1328622,16.2816133,QUESTIONABLE,,Kein Text gescrapt
