name,website,google_category,domain,address,phone,lat,lng,status,reason,evidence_quote
Kantonales Labor Zürich,http://www.kl.zh.ch/internet/gesundheitsdirektion/klz/de/home.html,Labor,kl.zh.ch,"Fehrenstrasse 15, 8032 Zürich, Schweiz",+41 43 244 71 00,47.3711139,8.5587353,QUESTIONABLE,Kein Text gescrapt,
Labology Zürich,http://www.labology.ch/,Medizinisches Labor,labology.ch,"Bahnhofstrasse 110, 8001 Zürich, Schweiz",+41 44 551 00 50,47.376754,8.540016,QUESTIONABLE,Kein Text gescrapt,
Laborgemeinschaft 1 – medizinisches Labor in Zürich,http://www.lg1.ch/,Medizinisches Labor,lg1.ch,"Rautistrasse 11, 8047 Zürich, Schweiz",+41 44 404 20 80,47.3798032,8.4941525,QUESTIONABLE,Kein Text gescrapt,
Checkpoint Zürich,https://www.cpzh.ch/,Arztpraxis,cpzh.ch,"Limmatstrasse 25, 8005 Zürich, Schweiz",+41 44 455 59 10,47.3807886,8.5364137,QUESTIONABLE,,"Alle Leistungen können direkt vor Ort bezahlt werden. Bezahlst du direkt vor Ort, können wir dir günstige Laborkosten offerieren. Nach dem Test oder Behandlung bezahlst du direkt vor Ort und erhältst danach keine weitere Rechnungen."
Kauwerk,https://www.kauwerk.ch/,Dentallabor,kauwerk.ch,"Dübendorfstrasse 333, 8051 Zürich, Schweiz",+41 43 205 15 55,47.3987952,8.5908824,QUESTIONABLE,Kein Text gescrapt,
Homepage Labor,http://www.homepagelabor.ch/,Webdesigner,homepagelabor.ch,"Heerenwiesen 18, 8051 Zürich, Schweiz",+41 44 586 55 30,47.4054657,8.5739535,QUESTIONABLE,Kein Text gescrapt,
Daniel Wirz Zahnprothetik,http://www.zahn-prothetik.ch/,Zahnpflegebedarf,zahn-prothetik.ch,"Heerenwiesen 18, 8051 Zürich, Schweiz",+41 44 321 12 02,47.405474,8.573959,QUESTIONABLE,Kein Text gescrapt,
Gruppenpraxis Hirschen,https://www.gruppenpraxis-hirschen.ch/,Arztpraxis,gruppenpraxis-hirschen.ch,"Winterthurerstrasse 511, 8051 Zürich, Schweiz",+41 44 325 10 50,47.4038511,8.5714033,QUESTIONABLE,Kein Text gescrapt,
Uni Zürich Veterinärmedizinisches Labor,http://www.vetlabor.ch/,Labor,vetlabor.ch,"Winterthurerstrasse 260, 8057 Zürich, Schweiz",+41 44 635 83 40,47.4010804,8.5520361,QUESTIONABLE,Kein Text gescrapt,
Safety and Environmental Analysis SA/AG/Ltd,https://analysis-lab.ch/,Labor,analysis-lab.ch,"Schaffhauserstrasse 285, 8057 Zürich, Schweiz",+41 44 313 93 59,47.405425,8.5481219,QUESTIONABLE,Kein Text gescrapt,
A. Menarini GmbH,https://www.menarini.ch/fr-fr/Home,Pharmaunternehmen,menarini.ch,"Thurgauerstrasse 36/38, 8050, 8050 Zürich, Schweiz",+41 44 307 40 50,47.4139484,8.5512685,QUESTIONABLE,Kein Text gescrapt,
infratest GmbH,http://www.infratest.ch/,Labor,infratest.ch,"Thurgauerstrasse 56, 8050 Zürich, Schweiz",+41 44 564 74 74,47.4160501,8.5529417,QUESTIONABLE,Kein Text gescrapt,
Haaranalyse Alkohol & Drogen | Haar-Mineral-Analyse | Analytik Swiss,https://analytik-swiss.ch/,Internetanbieter,analytik-swiss.ch,"Berninastrasse 15, 8057 Zürich, Schweiz",,47.402755,8.551073,QUESTIONABLE,Kein Text gescrapt,
Grafdentaltechnik AG,https://www.grafdentaltechnik.ch/,Dentallabor,grafdentaltechnik.ch,"Berninastrasse 7, 8057 Zürich, Schweiz",+41 43 205 15 55,47.4024626,8.5522953,QUESTIONABLE,Kein Text gescrapt,
Pfaffen Dental-Labor AG,https://yellow.local.ch/d/0t9YZ0t57_JNoDR5VvDzaQ,Dentallabor,yellow.local.ch,"Salvatorstrasse 30, 8050 Zürich, Schweiz",+41 44 311 88 88,47.4076493,8.553622,QUESTIONABLE,Kein Text gescrapt,
Medipark Gesundheitszentrum,http://medipark.swiss/,Öffentliches Gesundheitszentrum,medipark.swiss,"Thurgauerstrasse 40, 8050 Zürich, Schweiz",+41 44 204 94 00,47.4148765,8.5525848,QUESTIONABLE,Kein Text gescrapt,
Labor Veritas AG,https://laborveritas.ch/,Labor,laborveritas.ch,"Engimattstrasse 11, 8002 Zürich, Schweiz",+41 44 283 29 30,47.3598863,8.5250801,QUESTIONABLE,Kein Text gescrapt,
Waldlabor Zürich,https://www.waldlabor.ch/,Labor,waldlabor.ch,"Wolfgang-Pauli-Strasse 14, 8093 Zürich, Schweiz",+41 44 633 25 37,47.4144033,8.4935844,QUESTIONABLE,Kein Text gescrapt,
ESS Zahntechnik Zürich AG,http://www.zahntechnik-zuerich.ch/,Dentallabor,zahntechnik-zuerich.ch,"Wieslergasse 2, 8049 Zürich, Schweiz",+41 44 366 44 00,47.4025051,8.4960362,QUESTIONABLE,Kein Text gescrapt,
Laboratory for Soft and Living Materials,http://www.softliv.mat.ethz.ch/,Labor,softliv.mat.ethz.ch,"8049 Zürich, Schweiz",,47.4060794,8.5096692,QUESTIONABLE,Kein Text gescrapt,
Quantum Device Lab,https://qudev.phys.ethz.ch/,Labor,qudev.phys.ethz.ch,"Otto-Stern-Weg 1, 8049 Zürich, Schweiz",,47.4096423,8.509523,QUESTIONABLE,Kein Text gescrapt,
"iClot AG, Dr. Jürg Bösiger",http://www.iclot.ch/,Arzt,iclot.ch,"Bläsistrasse 23, 8049 Zürich, Schweiz",+41 44 205 99 99,47.4025296,8.5017233,QUESTIONABLE,Kein Text gescrapt,
Laboratory for Nanometallurgy (LNM),http://www.met.mat.ethz.ch/,Labor,met.mat.ethz.ch,"Department of Materials, Vladimir-Prelog-Weg 1-5/10, 8049 Zürich, Schweiz",,47.4060322,8.5095549,QUESTIONABLE,Kein Text gescrapt,
Bühler Dental Aesthetik GmbH,http://www.buehlerdental.ch/,Dentallabor,buehlerdental.ch,"Naglerwiesenstrasse 2, 8049 Zürich, Schweiz",+41 44 341 91 10,47.4130189,8.4831751,QUESTIONABLE,Kein Text gescrapt,
LABOR5 Zürich,https://www.labor5.ch/,Veranstaltungsstätte,labor5.ch,"Schiffbaustrasse 3, 8005 Zürich, Schweiz",,47.3884416,8.5189959,QUESTIONABLE,Kein Text gescrapt,
Snijder Lab,https://www.snijderlab.org/,Labor,snijderlab.org,"Otto-Stern-Weg 3, 8049 Zürich, Schweiz",+41 44 633 71 49,47.4096764,8.5105012,QUESTIONABLE,Kein Text gescrapt,
GEML,http://geml.ethz.ch/,Labor,geml.ethz.ch,"HPL, Otto-Stern-Weg 7, 8049 Zürich, Schweiz",,47.4090101,8.5115075,QUESTIONABLE,Kein Text gescrapt,
Pilhofer Lab,http://www.pilhoferlab.ethz.ch/,Labor,pilhoferlab.ethz.ch,"HPK, Otto-Stern-Weg 5, 8049 Zürich, Schweiz",+41 44 633 39 63,47.409198,8.5109175,QUESTIONABLE,Kein Text gescrapt,
Claire Stanley,https://www.claire-stanley.com/contact,Labor,claire-stanley.com,"Reckenholzstrasse 191, 8046 Zürich, Schweiz",+41 58 469 26 64,47.4289175,8.5163604,QUESTIONABLE,Kein Text gescrapt,
Lanfranconi AG,http://www.lanfranconiag.com/,Dentallabor,lanfranconiag.com,"Wehntalerstrasse 320, 8046 Zürich, Schweiz",+41 44 372 19 29,47.412669,8.523519,QUESTIONABLE,Kein Text gescrapt,
Universitäres Zentrum für Labormedizin und Pathologie (UZL) - USZ,https://www.usz.ch/fachbereich/zentrum-labormedizin-pathologie/,Labor,usz.ch,"Rämistrasse 100, OPS D 23, 8091 Zürich, Schweiz",+41 44 255 22 61,47.3766158,8.5491775,QUESTIONABLE,,"Es gibt keine Informationen im bereitgestellten Text, die bestätigen, dass das 'Universitäres Zentrum für Labormedizin und Pathologie (UZL) - USZ' Blut-/Laboruntersuchungen für Patienten als Selbstzahler ohne ärztliche Überweisung anbietet."
Röntgeninstitut Zürich Altstetten AG,http://rimed.ch/,Radiologe,rimed.ch,"Baslerstrasse 30, 8048 Zürich, Schweiz",+41 44 496 90 80,47.3857302,8.5032715,QUESTIONABLE,Kein Text gescrapt,
