name,website,google_category,domain,address,phone,lat,lng,status,evidence_quote,reason
Medizinisch Radiologisches Institut (MRI) Bahnhof Oerlikon,https://www.mri-roentgen.ch/de/standorte/mri-bahnhof-oerlikon/,Radiologe,mri-roentgen.ch,"Hofwiesenstrasse 349, 8050 Zürich, Schweiz",+41 44 257 20 90,47.4108847,8.5427095,NO,"Throughout the extensive publication list and professional outline from the provided source, there is no mention of 'DEXA', 'DXA', 'Körperfett', 'Muskelmasse', 'Fettanteil', 'Viszeralfett', or any other terminology linked to Body Composition scanning such as 'Body Scan'. All diagnostic and intervention techniques mentioned are primarily focused on vascular and tumor interventions, MRI arthrography, embolization procedures, and similar specializations.",
Ahead Health - Preventive health check-ups,http://www.aheadhealth.com/,Gesundheitsberater,aheadhealth.com,"3rd floor at HeadsQuarters, Uraniastrasse 31, 8001 Zürich, Schweiz",+41 44 797 69 46,47.3734618,8.5359742,NO,"Body composition uses MRI sequences to measure muscle & fat distribution, including visceral fat, and its impact on strength and metabolism.",
Coolzoone X Cryodukt Kältekammer Zürich,http://www.cryodukt.ch/,Fitnessprogramm,cryodukt.ch,"Heinrichstrasse 215, 8005 Zürich, Schweiz",+41 44 572 32 10,47.3876445,8.5241478,NO,"Mit unserem hochpräzisen 3D-Körperscanner sehen Sie mit eigenen Augen Ihre Problemzonen... Unser 3D-Körperscanner ermittelt wichtige Körperwerte wie Gewicht, Körperfettanteil, BMI, fettfreie Masse-Index und den Grundumsatz.",
Privatklinik Bethanien,https://www.swissmedical.net/de/spitaeler/bethanien?utm_source=google&utm_medium=organic&utm_campaign=googlemybusiness,Radiologe,swissmedical.net,"Toblerstrasse 51, 8044 Zürich, Schweiz",+41 43 268 70 70,47.3810039,8.5572415,NO,Je nach Fragestellung: Gesamtkörpermessung (WBC = whole body composition) zur Differenzierung des Muskel/Fett-Anteiles,
Klinik für Rheumatologie USZ Campus,https://www.usz.ch/fachbereich/rheumatologie/,Universitätsklinikum,usz.ch,"Süd 2 A + AUFN, Rämistrasse 100, 8091 Zürich, Schweiz",+41 44 255 26 87,47.3766158,8.5491775,NO,"Der Ganzkörperscan ('whole body MRT') ist eine radiologische Untersuchung, bei der mittels Schnittbildern die Beurteilung des ganzen Körpers ermöglicht wird. Die Untersuchung basiert auf der Methode der Magnetresonanztomographie.",
RheumaClinic Bethanien,https://www.klinikbethanien.ch/de/inhouse-praxen/rheumaclinic-bethanien/,Poliklinik,klinikbethanien.ch,"Toblerstrasse 51, 8044 Zürich, Schweiz",+41 43 268 28 00,47.3810996,8.5575578,NO,"The provided texts from the website links of Privatklinik Bethanien discuss various treatments and services such as physiotherapy, partnerships, and quality management. However, there are no mentions of DXA/DEXA in context with body composition analysis like fat percentage, muscle mass, or lean mass assessments. The mention of physiotherapy focuses entirely on rehabilitation and does not link to the specific use of DXA/DEXA for analyzing body composition parameters such as 'Körperfett', 'Muskelmasse', 'Fettanteil', or 'Viszeralfett'.",
Leistungsdiagnostik | Swiss Olympic Medical Center – Schulthess Klinik,https://www.schulthess-klinik.ch/de/leistungsdiagnostik,Sportmedizinische Klinik,schulthess-klinik.ch,"Schulthess Klinik, Lengghalde 6, 8008 Zürich, Schweiz",+41 44 385 75 62,47.3514109,8.574351,NO,"The provided text snippets primarily discuss surgeries and procedures related to knee prostheses and spine surgeries, with detailed descriptions of treatment for osteoarthritis and cartilage issues. There is no mention of DEXA/DXA scans or any references to body composition analysis such as 'Körperfett', 'Muskelmasse', or 'Viszeralfett'.",
Longevity Center AG,http://www.longevitycenter.ch/,Spezialklinik,longevitycenter.ch,"Beethovenstrasse 1, 8002 Zürich, Schweiz",+41 43 243 04 59,47.3650057,8.537325,QUESTIONABLE,,Kein Text gescrapt
The Relysian Club – Personal Training & Longevity Studio Zürich,https://relysian.ch/,Personal Trainer,relysian.ch,"Bleicherweg 62, 8002 Zürich, Schweiz",+41 76 214 00 62,47.3671334,8.5335032,QUESTIONABLE,,Kein Text gescrapt
Halle 41 Fitness Zürich West,https://halle41.ch/fitness-zurich/,Fitnessstudio,halle41.ch,"Heinrichstrasse 251, 8005 Zürich, Schweiz",+41 43 366 88 66,47.3881259,8.5217388,NO,Die Halle 41 Fitness bietet zwei Arten von Körperanalysen an: eine 3D-Körpermodellierung mit einem Styku Fitness-Scanner und eine Messung mit einer Tanita-Waage.,
Adipositas und StoffwechselZentrum Zürich,https://www.hirslanden.ch/de/klinik-hirslanden/centers/adipositas-und-stoffwechselzentrum-zuerich.html,Arzt,hirslanden.ch,"Witellikerstrasse 36, 8008 Zürich, Schweiz",+41 44 387 40 00,47.351908,8.576237,NO,"None of the provided text snippets contain any direct mention of 'DXA' or 'DEXA' scans associated with body composition analysis terms like 'Körperfett', 'Muskelmasse', 'Fettanteil', or 'Viszeralfett'. The evidence rather points to the usage of different methods such as BCM (Body Composition Monitor), which utilizes impedance and is specifically mentioned. There is no linkage between 'DEXA'/'DXA' and body composition services based on the criteria established.",
healwell Massage Zurich Sihlcity | Krankenkasse Anerkannt | Transformation Therapy Method,https://healwell.ch/,Masseur,healwell.ch,"Rüdigerstrasse 7/Ground Floor, 8045 Zürich, Schweiz",+41 76 506 74 88,47.3608028,8.5209823,NO,"Body composition analysis is mentioned as part of the services offered by the personal training sessions. However, specific technologies, including DXA/DEXA, are not cited in the context of assessing body composition such as muscle mass, fat percentage, or visceral fat.",
"Brustcentrum Zürich, Bethanien & Zollikerberg (Standort Privatklinik Bethanien)",https://www.brustcentrum-zuerich.ch/,Ärztehaus,brustcentrum-zuerich.ch,"Toblerstrasse 51, 8044 Zürich, Schweiz",+41 43 268 70 70,47.3810996,8.5575578,QUESTIONABLE,,Kein Text gescrapt
